source_url,target_url,301
https://td-art.ru/design-project/dom/,https://design.td-art.ru/folio,301
https://td-art.ru/design-project/kvartira/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/interesnoe/elitnyj-dizajn-interera-v-chem-zhe-on-zaklyuchaetsya/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/interesnoe/stil-barokko-v-interere/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/gostinaya/osobennosti-interera-gostinoj-v-chastnom-dome/,https://design.td-art.ru/folio,301
https://td-art.ru/,https://design.td-art.ru/,301
https://td-art.ru/articles/bedroom/balcony/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/gostinaya/fireplace/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/interesnoe/vintazhnyj-stil-v-dizajne-interera/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/interesnoe/stil-konstruktivizm-v-dizajne-interera/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/bedroom/interer-spalni-v-klassicheskom-stile/,https://design.td-art.ru/folio,301
https://td-art.ru/design-project/avtorskiy-nadzor/,https://design.td-art.ru/complex,301
https://td-art.ru/articles/interesnoe/fioletovie-ottenki-v-interiere/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/bedroom/bay-window/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/vannaya/art-deko,https://design.td-art.ru/folio,301
https://td-art.ru/prices/,https://design.td-art.ru/,301
https://td-art.ru/articles/interesnoe/skolko-nuzhno-vremeni-na-rabotu-s-dizajnerom/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/interesnoe/8-sovetov-kak-pravilno-sdelat-remont/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/kitchen/balcony/,https://design.td-art.ru/folio,301
https://td-art.ru/contacts/,https://design.td-art.ru/#contacts,301
https://td-art.ru/byuro/,https://design.td-art.ru/folio,301
https://www.td-art.ru/,https://design.td-art.ru/,301
http://td-art.ru/,https://design.td-art.ru/,301
https://td-art.ru/articles/interesnoe/kak-pravilno-vybrat-lestnicu-dlya-kottedzha-ili-chastnogo-doma/,https://design.td-art.ru/folio,301
https://td-art.ru/articles/gostinaya/minimalizm/,https://design.td-art.ru/folio,301
